filename,total_pages,max_page_num,mean_vector,max_vector,file_url,hover_text,mean_umap_1,mean_umap_2,max_umap_1,max_umap_2,cluster_mean,cluster_max,cluster_label_mean,cluster_label_max
0000008514,1,1,,,https://pdf.hres.ca/noc_pm/0000008514.PDF,Document: 0000008514<br>Pages: 1<br>Click to open file,-1.1693419760208807,9.154155156039494,-8.472000623970127,6.98958870169813,2,2,Cluster 2,Cluster 2
0000008604,1,1,,,https://pdf.hres.ca/noc_pm/0000008604.PDF,Document: 0000008604<br>Pages: 1<br>Click to open file,-1.1486965960007391,8.124884983920353,-9.51712086322794,7.160183870765513,2,2,Cluster 2,Cluster 2
0000008622,1,1,,,https://pdf.hres.ca/noc_pm/0000008622.PDF,Document: 0000008622<br>Pages: 1<br>Click to open file,-1.2247676199417792,9.323400875949162,-8.1808963072587,7.258791887733286,2,2,Cluster 2,Cluster 2
0000008687,1,1,,,https://pdf.hres.ca/noc_pm/0000008687.PDF,Document: 0000008687<br>Pages: 1<br>Click to open file,-1.1051811521988593,9.575131794833439,-8.244842077522373,7.066467249366587,2,2,Cluster 2,Cluster 2
0000008875,1,1,,,https://pdf.hres.ca/noc_pm/0000008875.PDF,Document: 0000008875<br>Pages: 1<br>Click to open file,-0.5780790394287787,9.35010280313422,-8.60090592029581,6.470801794502085,2,2,Cluster 2,Cluster 2
0000008944,1,1,,,https://pdf.hres.ca/noc_pm/0000008944.PDF,Document: 0000008944<br>Pages: 1<br>Click to open file,-0.906299764488288,9.640413662814396,-8.22750332477579,6.9789037346571146,2,2,Cluster 2,Cluster 2
0000008966,1,1,,,https://pdf.hres.ca/noc_pm/0000008966.PDF,Document: 0000008966<br>Pages: 1<br>Click to open file,-0.9440879171829901,9.585540196322697,-8.263572241096591,6.92447754141981,2,2,Cluster 2,Cluster 2
0000009016,1,1,,,https://pdf.hres.ca/noc_pm/0000009016.PDF,Document: 0000009016<br>Pages: 1<br>Click to open file,-0.7359942739945136,9.06444492044379,-8.87527516010294,6.703283274146861,2,2,Cluster 2,Cluster 2
0000009140,1,1,,,https://pdf.hres.ca/noc_pm/0000009140.PDF,Document: 0000009140<br>Pages: 1<br>Click to open file,-1.7589997595291815,8.699879071139591,-9.069925810127353,7.8423680901258646,2,2,Cluster 2,Cluster 2
0000009223,1,1,,,https://pdf.hres.ca/noc_pm/0000009223.PDF,Document: 0000009223<br>Pages: 1<br>Click to open file,-0.49492746052558045,9.148523709201115,-8.668470884590244,6.424537146064585,2,2,Cluster 2,Cluster 2
0000009258,1,1,,,https://pdf.hres.ca/noc_pm/0000009258.PDF,Document: 0000009258<br>Pages: 1<br>Click to open file,-1.050526077125617,9.58606471719672,-8.185051466255283,7.023479425880259,2,2,Cluster 2,Cluster 2
